epoch,train_loss,val_loss,val_ap,val_auc,val_f1,lr
1,0.8209,0.9308,0.8343,0.8664,0.4935,0.001
2,0.4877,0.8912,0.8706,0.9015,0.4935,0.001
3,0.2953,0.7931,0.857,0.8839,0.5902,0.001
4,0.2079,0.688,0.8314,0.8731,0.6809,0.001
5,0.1708,0.6026,0.833,0.8772,0.7273,0.001
6,0.1145,0.588,0.8352,0.8731,0.7273,0.0005
7,0.1086,0.6024,0.8353,0.8731,0.7111,0.0005
8,0.1026,0.6171,0.8339,0.8704,0.6957,0.0005
9,0.106,0.6068,0.8288,0.865,0.7273,0.0005
10,0.0762,0.5916,0.834,0.865,0.7273,0.00025
