epoch,train_loss,val_loss,val_ap,val_auc,val_f1,lr
1,0.9562,0.8715,0.6175,0.7503,0.5556,1.8157894736842107e-05
2,0.8301,0.7715,0.7728,0.8111,0.6667,1.4210526315789475e-05
3,0.6961,0.7418,0.753,0.8097,0.6471,1.0263157894736844e-05
4,0.5915,0.6786,0.7932,0.8367,0.6047,6.31578947368421e-06
5,0.4521,0.6849,0.7824,0.8367,0.7027,2.368421052631579e-06
6,0.3937,0.6832,0.7891,0.8408,0.6667,0.0
