true_negatives,false_positives,false_negatives,true_positives,total_samples,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,train_time_sec,inference_time_ms_per_sample,auroc,average_precision,model_key,model_name,family,feature_representation
49,0,24,0,73,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2264416217803955,0.5564036434643889,0.5,0.3287671232876712,dummy_most_frequent,Dummy (Most Frequent),Baseline,"Word TF-IDF (1, 2)"
49,0,24,0,73,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39.85975480079651,0.46457003240715966,0.8460884353741496,0.6860149887969117,logistic_regression,Logistic Regression,Linear,"Word TF-IDF (1, 2)"
39,10,7,17,73,0.7671232876712328,0.6296296296296297,0.7083333333333334,0.7083333333333334,0.7959183673469388,0.6666666666666666,0.20408163265306123,0.2916666666666667,17.952110052108765,0.8796927047102419,0.8435374149659864,0.6836373817459344,linear_svc,Linear SVM (Calibrated),Support Vector Machine,"Word TF-IDF (1, 2)"
43,6,7,17,73,0.821917808219178,0.7391304347826086,0.7083333333333334,0.7083333333333334,0.8775510204081632,0.723404255319149,0.12244897959183673,0.2916666666666667,5.305880784988403,0.6024086312071918,0.8775510204081632,0.7870957867877443,multinomial_nb,Multinomial Naive Bayes,Probabilistic,"Word TF-IDF (1, 2)"
41,8,6,18,73,0.8082191780821918,0.6923076923076923,0.75,0.75,0.8367346938775511,0.72,0.16326530612244897,0.25,10.252833366394043,0.6056877031718215,0.8775510204081632,0.7870957867877443,complement_nb,Complement Naive Bayes,Probabilistic,"Word TF-IDF (1, 2)"
36,13,6,18,73,0.7397260273972602,0.5806451612903226,0.75,0.75,0.7346938775510204,0.6545454545454545,0.2653061224489796,0.25,7.611805438995361,0.4888103432851295,0.8503401360544218,0.7509326172672323,sgd_classifier,SGD Classifier (Modified Huber),Linear,"Word TF-IDF (1, 2)"
45,4,13,11,73,0.7671232876712328,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.9183673469387755,0.5641025641025641,0.08163265306122448,0.5416666666666666,26.731191635131836,1.9526350988100654,0.8137755102040817,0.6762589328416738,random_forest,Random Forest,Tree Ensemble,"Word TF-IDF (1, 2)"
39,10,4,20,73,0.8082191780821918,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7959183673469388,0.7407407407407407,0.20408163265306123,0.16666666666666666,0.0,0.0,0.8562925170068026,0.6828883472088129,logistic_regression_char_tfidf,Logistic Regression (Char-wb TF-IDF 3-5),Linear,"Char-wb TF-IDF (3, 5)"
